prompt,completion
Can you create a opportunity on ABC school Account ?,create_oppty
Can you create an opportunity on ABC school Account ?,create_oppty
Hey , Can you create a opportunity on ABC school Account ?,create_oppty
Can you please create an opportunity for ABC school account .,create_oppty
Create opportunity  on ABC school Account,create_oppty
Create Opportunity for customer ABC school,create_oppty
Create opportunity for ABC school Account,create_oppty
Create a opportunity on  Account with name ABC school.,create_oppty
Can you create a opportunity in ABC school Account.,create_oppty
Sign up for an opportunity on ABC school Account?,create_oppty
Generate an opportunity on top of Account ABC,create_oppty
Generate opportunity from ABC school account.,create_oppty
Identify ABC school account and create opportunity for the same,create_oppty
For ABC school Account create an Opportunity,create_oppty
Create a new opportunity for ABC School Account,create_oppty
The Account name is ABC School , Create opportunity on this .,create_oppty
Generate a new opportunity for ABC school,create_oppty
Can you create a new opportunity followed by quote as well for ABC School account,create_oppty
On Account ABC School , create a new opportunity.,create_oppty
Find the Customer ABC School and create the Quote ,create_oppty
Create new opportunity and new quote for ABC School account,create_oppty
please create an opportunity on ABC school,create_oppty
New Opportunity should be created for ABC school account,create_oppty
Generate a new opportunity for Customer ABC,create_oppty
